,total,numbers
0,14,5
1,15,5
2,16,5
3,17,5
4,18,5
5,19,5
6,20,5
7,21,5
8,22,5
9,23,5
10,24,5
11,25,5
12,26,5
13,27,5
14,28,5
15,29,5
16,30,5
17,31,5
18,32,5
19,33,5
20,34,5
21,35,5
22,36,5
23,37,5
24,38,5
25,39,5
26,40,5
27,41,5
28,42,5
29,43,5
30,44,5
31,45,5
32,46,5
33,47,5
34,48,5
35,49,5
36,50,5
37,51,5
38,52,5
39,53,5
40,54,5
41,55,5
42,56,5
43,57,5
44,58,5
45,59,5
46,60,5
47,61,5
48,62,5
49,63,5
50,64,5
51,65,5
52,66,5
53,67,5
54,68,5
55,69,5
56,70,5
57,71,5
58,72,5
59,73,5
60,74,5
61,75,5
62,76,5
63,77,5
64,78,5
65,79,5
